Book Lovers;Emily Henry;4,13;1,154,263 ;132,036 ;377;2022-05-03;2022;Romance
Lessons in Chemistry;Bonnie Garmus;4,29;1,364,588 ;122,074 ;390;2022-03-31;2022;Fiction
Reminders of Him;Colleen Hoover;4,37;1,275,698 ;86,154 ;335;2022-01-18;2022;Fiction
House of Sky and Breath;Sarah J. Maas;4,48;523,929 ;62,924 ;805;2022-02-15;2022;Fantasy
The Maid;Nita Prose;3,77;577,551 ;55,513 ;304;2022-01-04;2022;Mystery
Tomorrow, and Tomorrow, and Tomorrow;Gabrielle Zevin;4,16;952,294 ;116,069 ;401;2022-07-05;2022;Fiction
Sea of Tranquility;Emily St. John Mandel;4,08;246,341 ;29,846 ;259;2022-04-05;2022;Fiction
Carrie Soto Is Back;Taylor Jenkins Reid;4,21;552,864 ;71,633 ;384;2022-08-30;2022;Fiction
Remarkably Bright Creatures;Shelby Van Pelt;4,39;658,918 ;80,496 ;360;2022-05-03;2022;Fiction
Babel;R.F. Kuang;4,18;255,573 ;48,914 ;544;2022-08-23;2022;Fantasy
Love on the Brain;Ali Hazelwood;3,92;480,538 ;61,669 ;368;2022-08-23;2022;Contemporary
Every Summer After;Carley Fortune;4,21;573,680 ;56,124 ;320;2022-05-10;2022;Romance
The Bodyguard;Katherine Center;3,97;270,854 ;38,222 ;302;2022-07-19;2022;Romance
Part of Your World;Abby Jimenez;4,3;350,230 ;43,514 ;400;2022-04-19;2022;Romance
Black Cake;Charmaine Wilkerson;4,1;188,848 ;19,637 ;385;2022-02-01;2022;Fiction
Hook, Line, and Sinker;Tessa Bailey;3,91;367,210 ;33,696 ;353;2022-03-01;2022;Romance
Things We Never Got Over;Lucy Score;4,16;841,474 ;64,554 ;572;2022-01-12;2022;Contemporary
Daughter of the Moon Goddess;Sue Lynn Tan;4,11;92,170 ;16,234 ;503;2022-01-11;2022;Romance
The Paris Apartment;Lucy Foley;3,66;557,663 ;47,044 ;360;2022-02-22;2022;Mystery
The Ballad of Never After;Stephanie Garber;4,52;254,032 ;43,751 ;404;2022-09-13;2022;Fantasy
Gallant;Victoria Schwab;3,72;118,199 ;20,752 ;338;2022-03-01;2022;Fantasy
The Girl Who Fell Beneath the Sea;Axie Oh;4,11;70,809 ;13,681 ;325;2022-02-22;2022;Fantasy
I Must Betray You;Ruta Sepetys;4,41;74,464 ;11,239 ;321;2022-02-01;2022;Historical Fiction
The Final Gambit;Jennifer Lynn Barnes;4,13;326,630 ;36,295 ;400;2022-08-30;2022;Mystery
The Book of Cold Cases;Simone St. James;3,79;115,034 ;13,183 ;344;2022-03-15;2022;Mystery
I Kissed Shara Wheeler;Casey McQuiston;3,89;89,326 ;17,634 ;356;2022-05-03;2022;Romance
Legends & Lattes;Travis Baldree;4,12;211,019 ;39,910 ;296;2022-02-22;2022;Fantasy
Under One Roof;Ali Hazelwood;3,66;167,125 ;19,888 ;112;2022-02-08;2022;Romance
It Starts with Us;Colleen Hoover;3,87;1,580,581 ;107,101 ;323;2022-10-18;2022;Romance
Demon Copperhead;Barbara Kingsolver;4,5;468,236 ;49,027 ;560;2022-10-18;2022;Fiction
One Italian Summer;Rebecca Serle;3,59;236,011 ;25,947 ;255;2022-03-01;2022;Fiction
A Flicker in the Dark;Stacy Willingham;4;428,878 ;38,181 ;357;2022-01-11;2022;Thriller
Twisted Hate;Ana Huang;3,99;498,190 ;42,795 ;522;2022-01-27;2022;Romance
Upgrade;Blake Crouch;3,81;98,132 ;13,049 ;352;2022-07-07;2022;Science Fiction
The Dead Romantics;Ashley Poston;3,93;171,236 ;28,561 ;368;2022-06-28;2022;Romance
Lore Olympus: Volume Two;Rachel Smythe;4,44;60,591 ;4,722 ;368;2022-07-05;2022;Graphic Novels
Nettle & Bone;T. Kingfisher;4,13;85,299 ;13,693 ;243;2022-04-26;2022;Fantasy
Stuck with You;Ali Hazelwood;3,58;131,761 ;14,350 ;127;2022-03-08;2022;Romance
The American Roommate Experiment;Elena Armas;3,82;221,242 ;25,537 ;400;2022-09-06;2022;Romance
The Kaiju Preservation Society;John Scalzi;3,99;56,280 ;8,909 ;264;2022-03-15;2022;Science Fiction
The War of Two Queens;Jennifer L. Armentrout;4,08;212,334 ;18,163 ;628;2022-03-15;2022;Romance
The Golden Couple;Greer Hendricks;3,98;210,958 ;17,685 ;329;2022-03-03;2022;Thriller
Something Wilder;Christina Lauren;3,67;122,159 ;14,443 ;384;2022-05-17;2022;Romance
The Last House on the Street;Diane Chamberlain;4,23;54,725 ;6,388 ;344;2022-01-11;2022;Historical Fiction
Twisted Lies;Ana Huang;4,21;424,738 ;38,481 ;530;2022-06-30;2022;Romance
Violeta;Isabel Allende;4,03;85,499 ;9,494 ;322;2022-01-25;2022;Historical Fiction
Notes on an Execution;Danya Kukafka;4,08;99,715 ;12,836 ;306;2022-01-25;2022;Fiction
Olga Dies Dreaming;Xóchitl González;3,98;65,822 ;7,363 ;369;2022-01-04;2022;Fiction
Below Zero;Ali Hazelwood;3,58;123,884 ;13,315 ;139;2022-04-05;2022;Romance
The Cartographers;Peng Shepherd;3,64;68,167 ;10,501 ;392;2022-03-15;2022;Fantasy
Mad Honey;Jodi Picoult;4,09;437,017 ;40,183 ;464;2022-10-04;2022;Fiction
Kaikeyi;Vaishnavi Patel;4,19;30,400 ;5,176 ;478;2022-04-26;2022;Fantasy
Young Mungo;Douglas  Stuart;4,38;63,252 ;9,301 ;390;2022-04-05;2022;Fiction
Book of Night;Holly Black;3,54;69,847 ;11,659 ;304;2022-05-03;2022;Fantasy
Where the Drowned Girls Go;Seanan McGuire;4,05;17,168 ;2,905 ;150;2022-01-04;2022;Fantasy
Trust;Hernan Diaz;3,83;113,320 ;13,339 ;402;2022-05-03;2022;Fiction
The Candy House;Jennifer Egan;3,64;60,034 ;7,873 ;352;2022-04-05;2022;Fiction
How High We Go in the Dark;Sequoia Nagamatsu;3,83;58,194 ;9,902 ;293;2022-01-18;2022;Science Fiction
The No-Show;Beth O'Leary;3,8;97,822 ;13,789 ;337;2022-04-12;2022;Romance
What Moves the Dead;T. Kingfisher;3,9;76,357 ;13,061 ;165;2022-07-12;2022;Horror
The Measure;Nikki Erlick;4;227,635 ;27,530 ;353;2022-06-28;2022;Fiction
The It Girl;Ruth Ware;3,85;254,478 ;22,092 ;423;2022-07-12;2022;Mystery
Anatomy;Dana Schwartz;3,84;84,015 ;12,606 ;338;2022-01-18;2022;Historical Fiction
The Overnight Guest;Heather Gudenkauf;4,04;107,703 ;11,013 ;316;2022-01-25;2022;Thriller
A Magic Steeped in Poison;Judy I. Lin;3,83;29,551 ;5,991 ;374;2022-03-29;2022;Fantasy
Fairy Tale;Stephen King;4,11;256,000 ;29,889 ;599;2022-09-06;2022;Fantasy
The Night Shift;Alex Finlay;3,91;66,122 ;8,467 ;312;2022-03-01;2022;Thriller
