Book Lovers;Emily Henry;4,13;377;1154263;132036;2022-05-03;2022;Romance
Lessons in Chemistry;Bonnie Garmus;4,29;390;1364588;122074;2022-03-31;2022;Fiction
Reminders of Him;Colleen Hoover;4,37;335;1275698;86154;2022-01-18;2022;Fiction
House of Sky and Breath;Sarah J. Maas;4,48;805;523929;62924;2022-02-15;2022;Fantasy
The Maid;Nita Prose;3,77;304;577551;55513;2022-01-04;2022;Mystery
Tomorrow, and Tomorrow, and Tomorrow;Gabrielle Zevin;4,16;401;952294;116069;2022-07-05;2022;Fiction
Sea of Tranquility;Emily St. John Mandel;4,08;259;246341;29846;2022-04-05;2022;Fiction
Carrie Soto Is Back;Taylor Jenkins Reid;4,21;384;552864;71633;2022-08-30;2022;Fiction
Remarkably Bright Creatures;Shelby Van Pelt;4,39;360;658918;80496;2022-05-03;2022;Fiction
Babel;R.F. Kuang;4,18;544;255573;48914;2022-08-23;2022;Fantasy
Love on the Brain;Ali Hazelwood;3,92;368;480538;61669;2022-08-23;2022;Contemporary
Every Summer After;Carley Fortune;4,21;320;573680;56124;2022-05-10;2022;Romance
The Bodyguard;Katherine Center;3,97;302;270854;38222;2022-07-19;2022;Romance
Part of Your World;Abby Jimenez;4,3;400;350230;43514;2022-04-19;2022;Romance
Black Cake;Charmaine Wilkerson;4,1;385;188848;19637;2022-02-01;2022;Fiction
Hook, Line, and Sinker;Tessa Bailey;3,91;353;367210;33696;2022-03-01;2022;Romance
Things We Never Got Over;Lucy Score;4,16;572;841474;64554;2022-01-12;2022;Contemporary
Daughter of the Moon Goddess;Sue Lynn Tan;4,11;503;92170;16234;2022-01-11;2022;Romance
The Paris Apartment;Lucy Foley;3,66;360;557663;47044;2022-02-22;2022;Mystery
The Ballad of Never After;Stephanie Garber;4,52;404;254032;43751;2022-09-13;2022;Fantasy
Gallant;Victoria Schwab;3,72;338;118199;20752;2022-03-01;2022;Fantasy
The Girl Who Fell Beneath the Sea;Axie Oh;4,11;325;70809;13681;2022-02-22;2022;Fantasy
I Must Betray You;Ruta Sepetys;4,41;321;74464;11239;2022-02-01;2022;Historical Fiction
